,ordinary_comment
0,一出爽片，告诉D家还是别玩深沉，适当鸡汤、疯狂爆米花，这不就挺好。放几个微博号，拔高至电影史，完全不必——太像一堆水炮。电影算好看啦，问题有超级英雄的自身软肋，像除了不想当海王，就没有性格毛病了。温子仁花大气力构筑的不同场景，确实花哨诡奇，但始终难以统一，比如那段跑酷的必要性，比如两次大场面，全部靠鱼海对决，看多了还是一个样。角色参与感太弱，尽管虾兵蟹将死那么多，who cares。一致叫好的海沟族，是照恐怖片的惊骇拍法，私货刺激，构思清奇（却还是解决不了我的困惑：主人公在海里像鱼雷速度，坐人类小船飘啊摇的干嘛）。至于夺王位的故事，全部是抡叉撸铁的蛮力角斗，打不死不说，挂个彩都好难。最后，那位苍蝇头反派，真的不是用来搞笑吗
1,还行，没吹得那么好，有点像强化娱乐性的海底版《黑豹》...故事线极其简单，打戏遍布扩成了143分钟的篇幅，对路人非常友好，不过这类过度炫目眼花缭乱的特效已经越看越麻木，什么海底《阿凡达》吹太过了，坐等《阿凡达2》的潘多拉海底世界吊打吧。7/10
2,场面宏大，视觉轰炸，剧情就真的很水啦～～～～像心电图，一会儿指环王，一会儿星战，一会儿跑酷，一会儿哪吒闹海，一会儿龙宫借宝，一会儿哥斯拉。
3,海王可能要被微博营销号给奶死了。。。
4,第一次看以赶剧情为唯一目的的电影。就像以N倍速看了三部片有种窒息感和呕吐欲，最可怕的是连对海王亚瑟这个角色的塑造都放弃了，看到最后也不知道这人是谁。温子仁的确厉害，很多戏单拿出来都是绝对出色的，但过度密集毫不停歇导致根本无法消化，就像有人一直往你嘴里塞你喜欢的食物，塞到最后也只能全部吐出来。
5,豆瓣分数明显虚高，一会儿就从8.5降8.4了。吹太过了吧，是因为DC让人失望太久，粉丝饥不择食？娱乐性是有的，可是从头到尾没让人激动的地方，倒是七仙女董永相会有点感人。海王只靠外语就拿到黄金三叉戟是认真的吗？还买一送一附赠性感内衣。最让人失望的是，DC还有自己的风格吗，毫无辨识度。
6,温子仁是个不错的工匠，将成功的好莱坞大片的经典元素拿来一锅端，指环王星战星际迷航速激伯恩碟中谍哥斯拉等等的优点轮番上，不停的做加法，让你从戴上3D眼镜的那一刻起，就觉得特效场面在不停的大大大，直到让你眼花缭乱，眼睛不知道看哪儿，这个过程也逐渐丧失乐趣和思考的能力。他就是要让你无法思考，这种大大大赶赶赶的剧本，一思考就全完了。超级英雄电影到了温子仁这里，竟然走了指环王的路线，倒是确实跟漫威不一样了，以前也没人这么拍过，可惜导演一味的追求速度，情节太赶，赶着赶着连海王这个人物都没了，爱情没了，就剩下了色彩绚烂的特效，经不起一点回味，最后也真的成了那种只能卖特效的片子。如果你只想看特效？那这片子倒是适合你。
7,当时神奇女侠就一波人叫好（我觉得神奇女侠巨难看！！！当时在电影院根本看不下去，隔应的慌），现在还是一波人无线吹捧。。。首先我承认特效很赞，人很美很帅，但是剧情，人设到处充满了bug，整体有点无聊。如果是国内拍的可能会被很多人讽刺只有特效，可能6分都不到。各位醒醒吧🙃大片不一定就是好片
8,当陆地人为自己的文明沾沾自喜时，亚特兰蒂斯的服装设计已经领先我们几百年。
9,吹过了吧，虽然质量不错可是也就超英（aka漫威）平均水平啊？？这满眼的即视感为啥要吹得前无古人？？
10,熟读历史的海王肯定研究过毛选，实力诠释了什么叫人民战争的汪洋大海。
11,温子仁就像一个从没拍过特效大片的暴发户。两星半，降降火。
12,故事果然还是DC常规水准，营销能力那真是突飞猛进了，有点好奇温子仁拍西游记定海神针篇会是什么效果。本马王粉反而觉得本片最帅的是前面拉了皮的威廉达福……
13,极致绚烂五光十色的爆米花，而且，明显有些过于“绚烂”了，如果拍电影真的分匠人和大师，那温子仁绝对就是匠人那拨里的领头羊了，他非常聪明地吸取了DC以往的经验教训并取众家之所长，虽然，他的幽默感显然没啥长进，但，人有格斗戏啊，谁能想到一群海里的人打架还可以拳拳到肉呢（笑）；至于主线剧情人鱼相恋、争夺王位、同族内战、千里寻宝什么的，都太太太见怪不怪了，另外对于海王如何与弟媳两情相悦并最终走到一起这部分，温子仁显然砍掉了很多戏，这点俺很不满意；最后，看完这片产生了一个很厉害的想法，每年都有人鼓捣《西游记》，当国内投资人看过这片后，相信短时间内大概非常有望看到一部东海龙王solo片了，选角啥的也不用太费力，导演，当然还是请温子仁，片酬，至少翻两番，至于主演，听说香港有位长相非常洋气的艺术家最近没戏拍，嗯。
14,挺一般的啊，剧情基本都能猜得到，莫名其妙的沉重，莫名其妙的和好，刻意商业的尬聊幽默很出戏好吗
15,剧本，导演都有问题，很多片段都似曾相识，硬是凑了两个半小时真是辛苦了我的膀胱。然而剧情不够美工来凑，海底阿凡达，温子仁难担大任，DC要超越漫威还有很长的路要走。
16,傻愣的台词，廉价的道具，浮夸的磨皮。除了几场戏调度不错，其他方面都太一般了。有时候，我甚至会产生错觉：这完全可以看成卓戈卡奥统治七国的故事，只不过是海底的七国大陆。这也完全可以被调侃成人猿泰山和小美人鱼的爱情历险。总之它的视觉效果和文本架构就是很容易让人分神。到头来，免不了还得夸一句：DC真的进步了！
17,白娘子水漫金山啦
18,好像有些人格外强调了导演的肤色和身份，这是不是有点过度认同了？温子仁除了皮肤是黄色的、名字是华裔的，其他的东西都是正宗的白人好莱坞的东西，我们在肤色认同上的过度敏感，反而说明我们依然缺乏自信和判断力。影片本身也就是强度放大的平庸超级英雄电影。
